#Release 13.1 - par O.40d (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sun May 22 11:23:18 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fmcw_fpga_map.ncd
#OUTPUT FILE:      fmcw_fpga_pad.csv
#PART TYPE:        xc6vlx75t
#SPEED GRADE:      -2
#PACKAGE:          ff784
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T17,,,GND,,,,,,,,,,,,
T18,,,VCCINT,,,,,,,,1.0,,,,
T19,,,GND,,,,,,,,,,,,
T20,,,VCCAUX,,,,,,,,2.5,,,,
T21,,IOBM,IO_L19P_14,UNUSED,,14,,,,,,,,,
T22,,IOBS,IO_L19N_14,UNUSED,,14,,,,,,,,,
T23,,,GND,,,,,,,,,,,,
T24,adc_calrun,IOB,IO_L15P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T25,adc_caldly,IOB,IO_L15N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T26,adc_fsr,IOB,IO_L10N_MRCC_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T27,led<5>,IOB,IO_L1P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T28,,,VCCO_14,,,14,,,,,1.80,,,,
U1,,,GND,,,,,,,,,,,,
U2,,,MGTAVTT,,,,,,,,,,,,
U3,pci_exp_rxp<3>,IPAD,MGTRXP0_115,,,,,,,,,,NO,,
U4,pci_exp_rxn<3>,IPAD,MGTRXN0_115,,,,,,,,,,NO,,
U5,,,GND,,,,,,,,,,,,
U6,,,GND,,,,,,,,,,,,
U7,,,GND,,,,,,,,,,,,
U8,,,GND,,,,,,,,,,,,
U9,,,VCCAUX,,,,,,,,2.5,,,,
U10,,,GND,,,,,,,,,,,,
U11,,,VCCINT,,,,,,,,1.0,,,,
U12,,,GND,,,,,,,,,,,,
U13,,,VCCINT,,,,,,,,1.0,,,,
U14,,,GND,,,,,,,,,,,,
U15,,,VCCINT,,,,,,,,1.0,,,,
U16,,,GND,,,,,,,,,,,,
U17,,,VCCINT,,,,,,,,1.0,,,,
U18,,,GND,,,,,,,,,,,,
U19,,,VCCAUX,,,,,,,,2.5,,,,
U20,,,GND,,,,,,,,,,,,
U21,,IOBS,IO_L17N_14,UNUSED,,14,,,,,,,,,
U22,,IOBM,IO_L17P_14,UNUSED,,14,,,,,,,,,
U23,adc_pdq,IOB,IO_L11N_SRCC_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U24,adc_ece_n,IOB,IO_L16N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U25,,,VCCO_14,,,14,,,,,1.80,,,,
U26,adc_pdi,IOB,IO_L10P_MRCC_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U27,led<1>,IOB,IO_L1N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U28,led<2>,IOB,IO_L2N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V1,pci_exp_txp<3>,OPAD,MGTTXP0_115,,,,,,,,,,NO,,
V2,pci_exp_txn<3>,OPAD,MGTTXN0_115,,,,,,,,,,NO,,
V3,,,GND,,,,,,,,,,,,
V4,,,MGTAVCC,,,,,,,,,,,,
V5,,,GND,,,,,,,,,,,,
V6,,,GND,,,,,,,,,,,,
V7,,,GND,,,,,,,,,,,,
V8,,,VCCAUX,,,,,,,,2.5,,,,
V9,,,GND,,,,,,,,,,,,
V10,,,VCCINT,,,,,,,,1.0,,,,
V11,,,GND,,,,,,,,,,,,
V12,,,VCCINT,,,,,,,,1.0,,,,
V13,,,GND,,,,,,,,,,,,
V14,,,VCCINT,,,,,,,,1.0,,,,
V15,,,GND,,,,,,,,,,,,
V16,,,VCCINT,,,,,,,,1.0,,,,
V17,,,GND,,,,,,,,,,,,
V18,,,VCCINT,,,,,,,,1.0,,,,
V19,,,NC,,,,,,,,,,,,
V20,,,NC,,,,,,,,,,,,
V21,,,NC,,,,,,,,,,,,
V22,,,VCCO_14,,,14,,,,,1.80,,,,
V23,adc_ndm,IOB,IO_L11P_SRCC_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V24,adc_ddrph,IOB,IO_L16P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V25,led<4>,IOB,IO_L3N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V26,,IOBS,IO_L4N_VREF_14,UNUSED,,14,,,,,,,,,
V27,,,GND,,,,,,,,,,,,
V28,led<3>,IOB,IO_L2P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
W1,,,GND,,,,,,,,,,,,
W2,,,GND,,,,,,,,,,,,
W3,sfp0_refclk_n,IPAD,MGTREFCLK1N_114,,,,,,,,,,NO,,
W4,sfp0_refclk_p,IPAD,MGTREFCLK1P_114,,,,,,,,,,NO,,
W5,,,GND,,,,,,,,,,,,
W6,,,GND,,,,,,,,,,,,
W7,,,VCCO_0,,,0,,,,,any******,,,,
W8,adc_did_p<11>,IOB,IO_L0P_35,INPUT,LVDS_25,35,,,,NONE,,UNLOCATED,YES,NONE,
W9,,,VCCO_35,,,35,,,,,any******,,,,
W10,,IOBS,IO_L8N_SRCC_35,UNUSED,,35,,,,,,,,,
W11,,IOBM,IO_L8P_SRCC_35,UNUSED,,35,,,,,,,,,
W12,,IOBM,IO_L2P_A15_D31_34,UNUSED,,34,,,,,,,,,
W13,,,VCCINT,,,,,,,,1.0,,,,
W14,,,GND,,,,,,,,,,,,
W15,,,VCCINT,,,,,,,,1.0,,,,
W16,,IOBM,IO_L18P_A17_34,UNUSED,,34,,,,,,,,,
W17,,,VCCINT,,,,,,,,1.0,,,,
W18,,,NC,,,,,,,,,,,,
W19,,,VCCO_23,,,23,,,,,any******,,,,
W20,,,VCCAUX,,,,,,,,2.5,,,,
W21,,,NC,,,,,,,,,,,,
W22,adc_des,IOB,IO_L13N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
W23,adc_sdo,IOB,IO_L9N_MRCC_14,INPUT,LVCMOS18,14,,,,NONE,,UNLOCATED,NO,NONE,
W24,,,GND,,,,,,,,,,,,
W25,led<6>,IOB,IO_L3P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
W26,dac_sck,IOB,IO_L4P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
W27,led<0>,IOB,IO_L6P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,YES,NONE,
W28,dac_sdio,IOB,IO_L5N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
Y1,,OPAD,MGTTXP3_114,UNUSED,,,,,,,,,,,
Y2,,OPAD,MGTTXN3_114,UNUSED,,,,,,,,,,,
Y3,,,GND,,,,,,,,,,,,
Y4,,,MGTAVCC,,,,,,,,,,,,
Y5,,,GND,,,,,,,,,,,,
Y6,,,TMS_0,,,,,,,,,,,,
Y7,,,TDO_0,,,,,,,,,,,,
Y8,,,VCCO_0,,,0,,,,,any******,,,,
Y9,adc_did_n<11>,IOB,IO_L0N_35,,LVDS_25,35,,,,,,,NO,,
Y10,adc_di_p<8>,IOB,IO_L1P_35,INPUT,LVDS_25,35,,,,NONE,,UNLOCATED,YES,NONE,
Y11,,,GND,,,,,,,,,,,,
Y12,,IOBS,IO_L2N_A14_D30_34,UNUSED,,34,,,,,,,,,
Y13,cfg_foe_b,IOB,IO_L8P_SRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
Y14,cfg_dq<9>,IOB,IO_L16N_A20_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
Y15,,IOBS,IO_L18N_A16_34,UNUSED,,34,,,,,,,,,
Y16,,,VCCO_34,,,34,,,,,2.50,,,,
Y17,,IOBM,IO_L19P_VRN_34,UNUSED,,34,,,,,,,,,
Y18,,,NC,,,,,,,,,,,,
Y19,,,NC,,,,,,,,,,,,
Y20,,,NC,,,,,,,,,,,,
Y21,,,GND,,,,,,,,,,,,
Y22,adc_cal,IOB,IO_L13P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
Y23,adc_sdi,IOB,IO_L9P_MRCC_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
Y24,dac_reset,IOB,IO_L7N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
Y25,dac_irq,IOB,IO_L7P_14,INPUT,LVCMOS18,14,,,,NONE,,UNLOCATED,NO,NONE,
Y26,,,VCCO_14,,,14,,,,,1.80,,,,
Y27,dac_cs_n,IOB,IO_L6N_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
Y28,dac_sdo,IOB,IO_L5P_14,INPUT,LVCMOS18,14,,,,NONE,,UNLOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#GT NOTE: In order to insure a successful multi-gigabit transceiver design, 
#please review the Xilinx RocketIO Transceiver User Guide, UG024. The user guide 
#contains detailed information on digital and analog design considerations, 
#including board level design guidelines to facilitate your system design. 
#The user guide is available on the Xilinx website, http://www.xilinx.com, 
#in the Documentation category under the Products and Services heading. 
#
#
